ID,Original_title,Director,Writer,Production,Genre,Hero,Heroine,Budget,Release Year,Result
5645,RRR,S.S.Rajamouli,Madhu babu,Arka Media Works,Action,Mahesh Babu,Pooja,3165546,2001,Good
3156,Pokiri,Krish ,Adivi baapiraju,Suresh Productions,Romantic,Ram charan,samantha,5151687,1999,Average
2544,Rakhi,Hari Krishna,Bharago,Venkateswara Creations,Emotional,N.T.R,Anushka,2165846,1999,Bad
5754,Lakshmi,Hari Krishna,Bnim,Arka Media Works,Emotional,Nagarjuna,keerthy suresh,5451557,2012,Good
4548,Swathi,S.S.Rajamouli,Bnim,Geetha Arts,Emotional,Ravi Teja,Nivetha Thomas,4235554,2012,Good
9685,Kaluva,Venkat,Madhu babu,Suresh Productions,Adventure,Krishna,Priyanka,2142435,2016,Good
3515,Seeta Ramula kalyaan,Teja,Bnim,Venkateswara Creations,Romantic,Prabhas,Pooja,321165536,2014,Average
7852,Adhurs,Venkat,Bharago,Arka Media Works,Action,Mahesh Babu,samantha,365431512,2017,Average
1254,Om Shanthi,Hari Krishna,Ramaswamy,Geetha Arts,Action,Ravi Teja,keerthy suresh,36541328,2022,Average
3241,Premistu,S.S.Rajamouli,Adivi baapiraju,Suresh Productions,Action,N.T.R,Nivetha Thomas,897645465,2018,Good
2155,Jai Simha,Venkat,Bharago,Venkateswara Creations,Romantic,Nagarjuna,Priyanka,35689465,2013,Good
7454,Mahanati,Venkat,Adivi baapiraju,Arka Media Works,Romantic,Ravi Teja,Pooja,354687659,2013,Good
6854,Bharat Ane Nenu,Venkat,Ramaswamy,Venkateswara Creations,Comedy,Krishna,keerthy suresh,63521654,2000,Good
8746,Rangasthalam,S.S.Rajamouli,Bnim,Suresh Productions,Thriller,Prabhas,keerthy suresh,31514658,1999,Good
6548,Geetha Govindam,Venkat,Bharago,Geetha Arts,Emotional,Mahesh Babu,Anushka,8798654,1998,Good
7845,Agnyaathavaasi,Teja,Ramaswamy,Arka Media Works,scince,Nagarjuna,Pooja,5749889965,2012,Good
1245,Ego,Hari Krishna,Adivi baapiraju,Geetha Arts,sports,Mahesh Babu,samantha,6963568,2012,Good
9745,Ega,S.S.Rajamouli,Madhu babu,Venkateswara Creations,western,Ravi Teja,Anushka,665259896,2014,Good
2685,Chalo,Teja,Bnim,Suresh Productions,western,Nani,Nivetha Thomas,3254878987,2015,Good
9236,Tholi Prema,Teja,Adivi baapiraju,Geetha Arts,Mystery,Rana,keerthy suresh,348679888,2018,Good
8124,Kirrak party,S.S.Rajamouli,Ramaswamy,Geetha Arts,Mystery,N.T.R,Pooja,547986454,2016,Good
8693,Vadena,Venkat,Bnim,Suresh Productions,Musicals,Nagarjuna,Pooja,36588979,2016,Good
1456,MLA,Hari Krishna,Madhu babu,Arka Media Works,Musicals,Nani,Anushka,68997965,1999,Good
3652,Chal Mohan Ranga,Teja,Adivi baapiraju,Geetha Arts,fantasy,Rana,Anushka,74562685,1999,Good
